iter	Passed	Remaining
0	9366	177959
1	18960	170642
2	28037	158880
3	37167	148671
4	46236	138708
5	55340	129127
6	64504	119794
7	73823	110735
8	83175	101658
9	92777	92777
10	102280	83684
11	111881	74587
12	121175	65248
13	130362	55869
14	140424	46808
15	150320	37580
16	159526	28151
17	168654	18739
18	177775	9356
19	187166	0
